id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
348409,"SanMarco, 120mq the heart of Venice with terrace",1765622,Sebastiano,Isole,San Marco,45.43453,12.33624,Entire home/apt,260,3,103,2019-10-31,1.56,1,314,12,
352392,SPLENDID STAR SAN MARCO SQUARE,1784535,Monica,Isole,Castello,45.43598,12.33968,Entire home/apt,87,2,188,2021-08-09,2.35,4,60,32,
352478,Appartamento signorile con due ampie terrazze,1784907,Luisa,Isole,Malamocco,45.36678,12.33871,Entire home/apt,100,7,0,,,1,0,0,
356388,Casanova's room,642936,Maria,Isole,Cannaregio,45.44105,12.32103,Private room,66,2,356,2021-08-24,3.13,2,349,10,
357073,MURANO Suites BOUTIQUE Apartments - ACQUAMARE.,1567140,Elodie,Isole,Murano,45.45617,12.35442,Entire home/apt,124,1,325,2021-08-28,2.85,7,309,38,
358332,FEW STEPS FROM SAN MARCO- BLUE CANAL VIEW,1813795,Maura,Isole,Castello,45.43521,12.34047,Private room,192,1,430,2020-02-26,3.80,4,68,0,
369257,Appartamento centrale a Venezia 1,1862349,Elide,Isole,Castello,45.43729,12.33971,Entire home/apt,76,2,205,2021-08-17,2.29,4,342,6,
372379,"apartment in the center of Venice, canal view",619545,Silvia,Isole,San Polo,45.43892,12.33104,Entire home/apt,400,3,150,2019-09-27,1.36,2,365,2,
375305,Real Venice with a  breathtaking private  terrace,1784566,Nicola And Maria Chiara,Isole,Dorsoduro,45.43309,12.32188,Entire home/apt,140,2,168,2018-09-26,1.70,1,157,1,
378039,Corte San Francesco,745553,Rosanna E Francesca,Isole,Castello,45.43805,12.34673,Entire home/apt,116,3,197,2019-10-09,2.37,6,111,1,
388399,Charming Apartment with gran canal view in Rialto,1943379,P & R,Isole,San Polo,45.43945,12.33271,Entire home/apt,2000,1,342,2020-02-17,3.24,1,0,8,
396228,Apartment to visit Venice,1602248,Tiziana,Terraferma,Chirignago,45.48629,12.19725,Entire home/apt,105,4,116,2019-08-07,1.20,3,365,0,
412848,Casa Annalisa in front of San Marco,2054352,Silvia,Isole,Giudecca,45.4248,12.33663,Entire home/apt,71,2,56,2017-09-19,0.75,1,341,0,
420146,ELEGANT B&B IN THE MIDDLE OF VENICE,2089352,Silvia,Isole,Castello,45.43771,12.34641,Private room,63,1,349,2021-09-02,3.09,1,157,35,
423767,In the peace of a secret garden...,1981478,Yaya,Isole,Cannaregio,45.44243,12.32436,Entire home/apt,140,3,161,2017-09-23,1.64,1,0,0,
426097,VENICIAN ROOM WITH TERRACE,1878243,Elisabetta,Isole,Cannaregio,45.44073,12.34039,Private room,65,5,16,2018-05-01,0.41,3,0,4,
429750,Canalside flat in central Venice,2136473,David,Isole,Dorsoduro,45.43193,12.3223,Entire home/apt,174,2,45,2020-01-02,0.50,1,143,2,
431287,APARTMENT GRAPPA PARADISE,2138358,Luca,Isole,Sant'Elena,45.4294,12.3603,Entire home/apt,89,2,224,2019-07-12,2.14,2,161,1,
441868,Magical view inside Venice.,2193613,Pierantonio,Isole,Santa Croce,45.44102,12.32862,Entire home/apt,185,3,360,2021-08-29,3.41,1,324,8,
442154,Dorsoduro Jewel Box w/ Private Garden,2196999,Barbara,Isole,Dorsoduro,45.43203,12.32182,Entire home/apt,120,2,136,2020-11-11,1.51,6,93,4,
452870,Dolce Venezia Luxury Flat San Marco - free wifi,283131,Anunxiata,Isole,San Marco,45.432613,12.334112,Entire home/apt,306,3,128,2021-07-25,1.28,4,336,9,
463737,"""Alle Rondini 2""- Country House",2304427,Nicla,Terraferma,Gatta - Bondu?,45.5348,12.21644,Private room,73,2,25,2013-06-13,0.23,1,365,2,
474357,Old Secret Venetian House & Garden,2351876,Ciro,Isole,Giudecca,45.42791,12.32116,Entire home/apt,450,2,53,2019-03-30,0.49,1,357,0,
